,title,url
0,Economics in Brief: Starbucks Union Wave Continues,https://nextcity.org/urbanist-news/economics-in-brief-starbucks-union-wave-continues
1,Displacement-Fighting Group in L.A.’s Little Tokyo Helps Small Businesses Own Their Real Estate,https://nextcity.org/urbanist-news/displacement-fighting-la-little-tokyo-small-businesses-own-real-estate
2,Housing Briefs: New York State’s Budget Fails to Provide Vouchers,https://nextcity.org/urbanist-news/housing-briefs-new-york-states-budget-fails-to-provide-vouchers
3,"How a Tennessee Housing Policy Concentrates Poverty, Denies Opportunity",https://nextcity.org/urbanist-news/how-a-tennessee-housing-policy-concentrates-poverty-denies-opportunity
4,Too Hot? Your City Needs a New Coat of Paint,/podcast/too-hot-your-city-needs-a-new-coat-of-paint
5,What We Learn From Black- and Women-Led Cooperative Practice,https://nextcity.org/urbanist-news/what-we-learn-from-black-and-women-led-cooperative-practice
6,Can Walking Together Heal a Neighborhood?,https://nextcity.org/urbanist-news/can-walking-together-heal-a-neighborhood
7,Atlanta Nonprofit Offers Path to Success for Women in Tech,https://nextcity.org/urbanist-news/atlanta-nonprofit-offers-path-to-success-for-women-in-tech
8,"Former Wall Street Pro Says to Tackle Inequality, Start With Changing Wall Street",https://nextcity.org/urbanist-news/former-wall-street-pro-says-to-tackle-inequality-start-with-changing-wall-s
9,Welcome to Your Friendly Neighborhood Mental Health Center,https://nextcity.org/urbanist-news/welcome-to-your-friendly-neighborhood-mental-health-center
10,Low-Income Students Need More Than a Good Education,https://nextcity.org/urbanist-news/low-income-students-need-more-than-a-good-education
11,How Can ‘Sponge Cities’ Use Nature to Tackle Climate-Fuelled Floods?,https://nextcity.org/urbanist-news/how-can-sponge-cities-use-nature-to-tackle-climate-fuelled-floods
12,Economics in Brief: Philadelphia Says No to CityCoin,https://nextcity.org/urbanist-news/economics-in-brief-philadelphia-says-no-to-citycoin
13,Housing Briefs: LA Settlement Could Increase Shelter Spending to $3 Billion,https://nextcity.org/urbanist-news/housing-briefs-la-settlement-could-increase-shelter-spending-to-3-billion
14,Brooklyn Tenants of Neglected Building Push for Community Control,https://nextcity.org/urbanist-news/brooklyn-tenants-of-neglected-building-push-for-community-control
15,The Future is Caring About the Civic Experience,https://nextcity.org/webinars/the-future-is-caring-about-the-civic-experience
16,How Cap-And-Trade Keeps People In Their Homes,/podcast/how-cap-and-trade-keeps-people-in-their-homes
17,Philly Fund Looks to Diversify the Construction Industry,https://nextcity.org/urbanist-news/philly-fund-looks-to-diversify-the-construction-industry
18,Test Plots in Los Angeles Parks Grow More Than Native Crops: A Community of People Who Care,https://nextcity.org/urbanist-news/test-plots-in-los-angeles-parks-grow-more-than-native-crops-a-community-of
19,"Two Years After Tornado, Nashville Is Rebuilding With Equity in Mind",https://nextcity.org/urbanist-news/two-years-after-tornado-nashville-is-rebuilding-with-equity-in-mind
20,The Secret Behind Wichita’s Success With Emergency Housing Vouchers,https://nextcity.org/urbanist-news/the-secret-behind-wichitas-success-in-distributing-emergency-housing-vouche
21,Bringing Community Power to the Mostly Hidden World of Donor-Advised Funds,https://nextcity.org/urbanist-news/bringing-community-power-to-the-mostly-hidden-world-of-donor-advised-funds
22,Baltimore Accelerator Will Focus on Black and Latina Women,https://nextcity.org/urbanist-news/baltimore-accelerator-will-focus-on-black-and-latina-women
23,The Next Frontier in Medicine: Doctors With Climate Training,https://nextcity.org/urbanist-news/the-next-frontier-in-medicine-doctors-with-climate-training
24,Economics in Brief: California Will Give Reparations to Descendants of Slaves,https://nextcity.org/urbanist-news/economics-in-brief-california-will-give-reparations-to-descendants-of-slave
25,The E-Trike Armada Propelling a Net-Zero Dream,https://nextcity.org/urbanist-news/the-e-trike-armada-propelling-a-net-zero-dream
26,City Parks Alliance Focuses on Greater & Greener Equity,https://nextcity.org/urbanist-news/sponsored-city-parks-alliance-is-going-greater-greener-for-all-urban-park-l
27,Housing Briefs: NYC Mayor Announces Encampment Sweeps,https://nextcity.org/urbanist-news/housing-briefs-nyc-mayor-begins-encampment-sweeps
28,Places of Worship Tackle the Affordable Housing Shortage,https://nextcity.org/urbanist-news/places-of-worship-tackle-the-affordable-housing-shortage
29,Hear Us: The Climate Crisis Demands Race-Intentional Co-Governance,https://nextcity.org/urbanist-news/hear-us-the-climate-crisis-demands-race-intentional-co-governance
30,Meet the Black Women Behind the New Digital Startups Aimed at Reducing Health Disparities,https://nextcity.org/urbanist-news/meet-the-black-women-behind-the-new-digital-startups-aimed-at-reducing-heal
31,City Leaders Look to Prisoners for Answers to Violence,https://nextcity.org/urbanist-news/city-leaders-look-to-prisoners-for-answers-to-violence
32,"At These Health Centers, a Physical Comes With Housing Resources",https://nextcity.org/urbanist-news/at-these-health-centers-a-physical-comes-with-housing-resources
33,A Recipe to Build Accessible Space for Food Businesses in a Redlined Neighborhood,https://nextcity.org/urbanist-news/a-recipe-to-build-accessible-space-for-food-businesses-in-a-redlined-neighb
34,Cultivating Trees and a Juster Future in San Francisco,https://nextcity.org/urbanist-news/cultivating-trees-and-a-juster-future-in-san-francisco
35,"Camden, Newark & Baltimore Lead in Building Equitable Access to Urban Tree Canopy",https://nextcity.org/urbanist-news/camden-newark-baltimore-lead-in-building-equitable-access-to-urban-tree-can
36,How Detroit Artists Are Shaping Their City and Being Shaped by It,https://nextcity.org/urbanist-news/how-detroit-artists-are-shaping-and-being-shaped-by-the-city
