,title,url
0,Future of Cities,https://www.futureofcities.city/
1,Next City – Inspiring Better Cities,https://nextcity.org/
2,Urban Us - seed-stage VC for tech improving higher density city living,https://urban.us/
3,Home - NewCities,https://newcities.org/
4,"Web Urbanist | Urban Architecture, Art, Design, Technology & Travel",https://weburbanist.com/
5,UCL Urban Laboratory - UCL - London's Global University,https://www.ucl.ac.uk/urban-lab/
6,Home / Harvard GSD Urban Theory Lab,http://www.urbantheorylab.net/
7,City Form Lab,http://cityform.mit.edu/
8,AA School Homepage,https://www.aaschool.ac.uk/
9,Homepage - FCL – Future Cities Laboratory | ETH Zurich,https://fcl.ethz.ch/
10,Department of Architecture – Department of Architecture | ETH Zurich,https://arch.ethz.ch/en
11,Perspectives - Arup,https://www.arup.com/perspectives
12,Home - Arup Foresight,https://foresight.arup.com/
13,Urban Design Forum,https://urbandesignforum.org/
14,International Forum on Urbanism [IFoU],http://ifou.org/
15,Main Home - Urban Future,https://www.urban-future.org/
16,Architect Design News & Trends - Building Design + Construction,https://www.bdcnetwork.com/
17,Urban Data Platform Plus,https://urban.jrc.ec.europa.eu/#/en
18,,https://urban.jrc.ec.europa.eu/thefutureofcities/
19,"Travel News, Airline Industry News, & Hotel Industry News by Skift",https://skift.com/
20,UCLG – United Cities and Local Governments:,https://www.uclg.org/en
21,Ecologic Institute: Science and Policy for a Sustainable World,https://www.ecologic.eu/
22,Smart Cities World - Home,https://www.smartcitiesworld.net/
23,Home | Marketplace of the European Innovation Partnership on Smart Cities and Communities,https://eu-smartcities.eu/
24,Home - BIM WORLD,https://bim-w.com/en
25,"Futura-Mobility – Mobility and transports, innovation and research",https://futuramobility.org/en/home/
26,Homepage - Connected Places Catapult,https://cp.catapult.org.uk/
27,Rebuild By Design,http://www.rebuildbydesign.org/
28,Architecture - e-flux,https://www.e-flux.com/architecture/
29,Future Architecture Platform,http://futurearchitectureplatform.org/
30,Home - Columbia GSAPP,https://www.arch.columbia.edu/
31,"Architizer: Architects, Buildings and Building Products",https://architizer.com/
32,"Find Home Services Experts in Your Town, For Free Neighborly",https://www.getneighborly.com/
33,Project for Public Spaces | Home,https://www.pps.org/
34,,https://thespaces.com/
35,FULL | The Future Urban Legacy Lab,http://urbanlegacylab.net/
36,European Capital of Smart Tourism,https://smarttourismcapital.eu/
37,Theatrum Mundi,https://theatrum-mundi.org/
38,Het Nieuwe Instituut,https://hetnieuweinstituut.nl/en
