,title,url,date,text
0,Job opportunity: Project Co-ordinator,https://www.ucl.ac.uk/urban-lab/news/2022/apr/job-opportunity-project-co-ordinator,6 April 2022,"Urban Laboratory are seeking to appoint a Project Co-ordinator to work with Clare Melhuish and colleagues to co-ordinate research and writing of a literature and policy review which will be published as a ‘State of the Legacy’ report, and delivery of a 2-3 day conference event in September (12th and 13th), for which a Call for Contributions has been published. The Project Co-ordinator will collaborate with three Research Assistants based at our partner universities, UEL, Cardiff and Oxford Brookes, who will work as a team on collation and presentation of sources for the State of the Legacy report. Duties and responsibilities To co-ordinate research and compilation of the State of the Legacy report Project manage the preparation, organisation and delivery of the Olympics Legacy conference in September, working with the organising committee. The PC will be responsible for the preparation and delivery stages of this event, contributing to conference design, contacting and organising participants, setting up meetings, preparatory logistical planning to ensure delivery in September 2022, social media dissemination, on-site co-ordination on the day, and post-workshop evaluation. In carrying out the above duties the candidate is expected to: Adhere to UCL policies including Financial Regulations and Equal Opportunities policies Participate in staff meetings and undertake training as required Maintain an awareness of Fire and Health and Safety Regulations Skills and experience Must be a current UCL student Postgraduate qualification in urbanism, architecture, planning or a related subject Ability to conduct research projects in the field of urbanism/urban regeneration Ability to project manage a public event bringing together diverse participants from academic, professional, public, creative and charitable sectors Demonstrable skills in academic/policy report writing Ability to contribute to social media and public outreach Excellent command of spoken and written English Excellent organisational skills and ability to manage workload and deadlines Ability to work on own initiative, learn new skills, adapt to role changes and tasks A positive and creative attitude towards collaborative teamwork"
1,Call for Papers: Deadline 24 April 2022,https://www.ucl.ac.uk/urban-lab/news/2022/apr/call-papers-deadline-24-april-2022,1 April 2022,"(Julie Livingston, Self-Devouring Growth, 2019) The Urban Lab and the Institute of Advanced Studies are interlacing their respective research themes of Emergency and Growth in a cross-disciplinary symposium to reflect critically on each of these concepts and on their relationship to each other in the current moment.  Two half-day workshops for c. 25-30 invited participants to discuss pre-circulated papers will be bridged by an evening panel presentation of 3-4 keynote speakers, including Q&A with a public audience. The idea that growth – economic, biological, scientific and personal – establishes a secure foundation for the future underpinned the modern era and has proved remarkably persistent despite the increasing volume and intensity of criticism to which it has been subjected over the last two decades. This symposium is prompted by an urge to discuss the extent to which the conditions for debate have been irreversibly changed by the Covid-19 pandemic. During this period emergency measures have been imposed by governments of all political stripes to suspend normal economic and social activity throughout the world, and much discussion of the need to implement new and better models of operation post-pandemic has been aired. At the same time, there has been an acceleration of extreme weather events, which have increasingly affected parts of the world hitherto accustomed to temperate living conditions. Public discourse has mutated from a framework of crisis to one of emergency: we are no longer talking about a crisis of capitalism or even a crisis of civilisation, but instead of a state of planetary emergency that threatens our very existence, and challenges certain assumptions around continuous growth as a desirable paradigm for the future. Our symposium has three aims: To take stock of debates on growth (degrowth; agrowth) in light of the pandemic. We now have global evidence about what the ‘pedagogy of catastrophe’ (Latouche) looks like in practice. How does this alter the conditions for thinking, beyond the obvious injection of urgency? Is it easier or harder to imagine compelling new futures, especially from within the universities? To generate deep cross-disciplinary exploration of the capacious concept of growth, which ranges across the social and natural domains to describe a huge variety of phenomena from miniscule particles of living matter to the complex social assemblages of mega-cities. Our starting point is that in order to stand any chance of understanding the enduring power of growth as a concept we will need to think across borders of all kinds: geographical, temporal, institutional and disciplinary. To bring into the mainstream theories, insights and examples from as many parts of the world as possible, given that the concept of growth means such different things in different places. Two examples with which the organisers happen to be familiar from their own work are the Scandinavian model of consolidation and repair and the Latin American philosophy of buen vivir, in which living well entails social justice, connectedness to other people and harmony with the natural world.  In many parts of the world, there is a deep history of criticism of ‘modernization’, ‘development’ and their correlates of exponential growth and trickle-down benefits, but these ideas, especially from the global South, are still relatively unknown in discussions that purport to be planetary in remit. Through combining these three aims we hope to generate new thinking on questions such as:  Are terms such as ‘sustainable development’ or ‘Green growth’ inescapably self-contradictory and wedded to the avoidance of necessary change? Is it possible or even desirable to break with the logic of growth? Which other concepts might we bring to bear to calibrate the possibilities for human and nonhuman flourishing? In current conditions, what realistic options are there for re-configuring our economies, our cities, our societies –not to mention our universities-- in the face of the multiple emergencies we face, and to redress fundamental historic inequalities in access to the planet’s resources?   There will be two half-day workshops for invited participants (25-30 people), plus a panel discussion with 3-4 keynote speakers, open to a public audience, held on the evening of the first day. At the workshops, we will spend most of the time in discussion. For that reason, paper-givers will be asked to circulate a draft text of c 5,000 words two weeks in advance.  There will be no formal presentations on the day, but time-slots will be allocated for discussion of each paper, as well as time for open free-ranging discussion. We invite paper proposals on any aspect of Growth in relation to Emergency, including (but not limited to) the economics, (geo-)politics, health, ethics and aesthetics of growth. We hope to bring together economists, philosophers, geographers, historians, art historians, anthropologists, architects, artists and any other specialists working in the field. The workshops will be organised thematically on the basis on proposals received. We intend to publish a selection of the papers in an open access volume with UCL Press. Clare Melhuish, Director of UCL Urban Laboratory Nicola Miller, Director of UCL Institute of Advanced Studies Please send an abstract of 500 words maximum and a two-page c.v. to p.llombart@ucl.ac.uk by midnight on Sunday 24 April 2022. Photo by Rosanna Gaddoni on Unsplash"
2,Seeking an Urban Room Curator,https://www.ucl.ac.uk/urban-lab/news/2022/mar/seeking-urban-room-curator,29 March 2022," The main purpose of the job is to curate and manage a dynamic and inclusive Urban Room at UCL East campus, facilitating a wide range of collaborations and activities, advancing academic and public-facing engagement activities focused on urbanism, public history and London. Applicants should have demonstrable curatorial expertise and experience of managing events. The successful candidate should also have excellent organisational and communication skills, be able to switch easily between tasks/projects and have an inclusive approach to diversity and inter-cultural awareness. Apply Now For enquiries about the post please contact Professor Ben Campkin (b.campkin@ucl.ac.uk). For any queries regarding this advert or recruitment process please contact Ms Tunay Mustafa  (t.mustafa@ucl.ac.uk)."
3,UCL Urban Laboratory's MASc Global Urbanism open to applicants,https://www.ucl.ac.uk/urban-lab/news/2022/mar/ucl-urban-laboratorys-masc-global-urbanism-open-applicants,25 March 2022,"This distinctive new MASc in Global Urbanism will be delivered by UCL Urban Laboratory at The Bartlett at UCL East from September 2022. It will equip students from a range of different academic and professional backgrounds with the critical skills and specialist knowledge to operate as an urbanist in today's global environment, collaborating across sectors to tackle urgent challenges and shape fairer cities. It is the first urban Master’s degree to radically cut across arts, humanities, social sciences and technology studies, providing the opportunity to specialise in urbanism as a challenge-driven and practice-oriented transdisciplinary field.  It is designed to enable students to benefit from UCL’s extensive research experience and partnerships from across the urban world, and to work with its expertise and collections on London, which have been influential in shaping the capital. It is embedded in the activities of UCL Urban Laboratory and its world-leading expertise in promoting holistic and collaborative responses to complex urban conditions, from across the arts, humanities, social sciences, technology and the built environment. The MASc offers a choice of two pathways, Global Studio or London Studio. In addition to a shared core curriculum, each pathway offers the opportunity to build critical understandings of global urbanism, specialising either in the highly globalised urban context of London, or in a selected international partner city. It will be delivered in a collaborative and experimental research setting, UCL's new campus in the Queen Elizabeth Olympic Park, east London, enabling students to engage with the dynamics of urbanization in the local environs, through collaboration with the university’s local and international partners.  Staff and students will benefit from high-quality, purpose-designed facilities for transdisciplinary postgraduate research, including priority access to the UCL Urban Room, a new research-led, public-facing space for exhibitions, debate and collaboration on the past, present and future of cities. This is a 1-year (full-time) or 2-year (part-time) programme. It provides a route for those wishing to pursue further advanced urban research, on London or other cities, such as doctoral studies, and/or a professional development pathway for those working (or aiming to develop a career) in a position that requires understanding the contexts and complexity of urban challenges and development in cities internationally. Image Credit: Alexandra Peca Amaral Gomes"
4,Olympic Legacy Conference: Call for Contributions,https://www.ucl.ac.uk/urban-lab/news/2022/mar/olympic-legacy-conference-call-contributions,3 March 2022,"2022 marks the 10th anniversary of the London 2012 Olympic Games. The Bartlett’s UCL Urban Laboratory and Institute for Global Prosperity (IGP) in collaboration with the University of East London, Cardiff University (Welsh School of Architecture) and Oxford Brookes University, are organising a conference on Monday 12th and Tuesday 13th September 2022 at venues in and around the Queen Elizabeth Olympic Park, London E20, to interrogate and critically reflect on London’s Olympic and Paralympic legacy in the post-games period, from social and spatial justice perspectives. Following a decade of planned regeneration, it is our intention to analyse its effects in the context of longer processes of social, economic, and physical transformation in east London over the last 40 years and explore the changing urban political imaginaries and policy agendas that have shaped approaches to regeneration practice and research during that time. The goals are: a)  to critically analyse regeneration policies, impacts, and research in east London before and after the Olympics, foregrounding a variety of voices and perspectives on transformative processes from the redevelopment of London’s Docklands in the 1990s to the various phases of Olympic regeneration, and plans for the future redevelopment of Silvertown and the Royal Docks. b) to identify evidence-based lessons relevant to future urban planning and regeneration in the UK including the levelling up agenda, and other Olympic host cities including Paris 2024. The programme for the conference events will be organised around, and inclusive of, a range of formats, from research papers and presentations, to film, storytelling and visual media, and question and answer style sessions.   Conference attendance is free of charge, and for those unable to attend in person there will be an opportunity to make an online contribution.  Contributions from community-based researchers, civil society organisations, policy researchers, professional urbanists, and creative practitioners, as well as academics from different disciplines and at various career stages, are strongly encouraged in response to, but not limited to, the following themes: How have Legacy rhetoric and policies evolved over the last decade? Examples may include legacy commitments, or concepts of inclusive regeneration and convergence. How have the ‘gains’ from London 2012 regeneration been distributed socially, spatially and economically? Whose legacy stories are heard and whose are not heard? What are the practical and transferable lessons for future regeneration policies, practice, and scholarship in the UK including the levelling-up agenda, as well as in other Olympic host cities including Paris 2024? Can sports-led mega-events and culture-led regeneration be galvanised for the public good? How can universities contribute to inclusive regeneration/good growth in areas with high levels of deprivation such as East London? How do we situate legacy in the context of longer processes of social, economic, and physical transformation in east London, including the impact of the COVID-19 pandemic? What does legacy look, sound and feel like in 2022? We invite prospective participants to submit proposals for contributions in a variety of formats, e.g., visual/textual/performance-led etc, using the online form here.  Deadline Tuesday 19th April, 12 noon (BST). For further information and any queries, please contact: Penny Bernstock on p.bernstock@ucl.ac.uk Conference steering group: Penny Bernstock, Co-Chair, Olympic Strategy Group TELCO; UCL IGP (The Bartlett) Sue Brownill, Oxford Brookes University, School of the Built Environment Juliet Davis, Cardiff University, Welsh School of Architecture Briony Fleming UCL East Clare Melhuish UCL Urban Laboratory (The Bartlett) Anna Minton UEL, Department of Architecture Saffron Woodcraft UCL IGP (The Bartlett)"
5,Urban Walks Series,https://www.ucl.ac.uk/urban-lab/news/2022/feb/urban-walks-series-0,25 February 2022," From Saturday 26th February, the UCL Urban Laboratory will host the first of a series of urban walks centred around our annual theme of ‘Emergency’. With each walk led by a different urbanist, anthropologist, activist or author, we will start near UCL’s Bloomsbury campus and each week head further east, eventually taking in the ongoing construction of UCL East in the Queen Elizabeth Olympic Park, and entering London’s edgelands. As ever, the Urban Laboratory is committed to engaging with those outside of academia to look at a wide variety of issues facing urban life. Walk leaders will lead discussions on everything, from the housing crisis and river pollution, to night-time safety and gentrification, and each walk will be free and open to the public. The programme will cover parts of the capital packed with history, culture and controversy, and often overlooked spaces of wilderness such as the Channelsea River and the surprisingly beautiful surroundings of Beckton Sewage Works. If you are still recovering from the effects of lockdown and fancy exploring the city, we’d love for you to join us. Numbers are limited and free tickets will be made available on Eventbrite seven days prior to each walk. Please do only book a ticket if you are committed to joining. We plan to go ahead regardless of all but the most severe weather conditions. Saturday 26th Feb 2022 | 1100-1300 | Tom Bolton | Start: Kings X Station | End: Kings X Station Despite their proximity to busy central London and to UCL, the neighbourhoods behind Euston, King’s Cross and St. Pancras stations are cut off by railway lines, canals and busy roads. We will visit Somers Town, the village of radicals; Elm Village, once condemned as London’s worst slum; the Maiden Lane Estate, a tangle of decks, alleys and hidden corners; and Belle Isle, a strange part of London’s mythology: a landscape of change, social contrast and urban complexity. Sunday 6th Mar 2022 | 1100-1300 | Ashley Hickson-Lovence | Start: Hoxton Station | End: Dalston Junction Station ""True say though, I have to say, it’s always changing round here. Shops that used to sell carpet cleaner and cat toys, now sell those tiny espresso coffees that are too strong and make your breath kick..."" An exploratory journey from Hoxton to Dalston, which will draw on the lived experiences of author of The 392, Ashley Hickson-Lovence. The walk will follow the first part of the fictional 392 bus route, exploring the local landmarks and discussing the impact of gentrification of the area. Friday 11th Mar 2022 | Evening | Satu Streatfield | Location unconfirmed Satu Streatfield is Associate Director (Night-time and Lighting) at Publica. In 2021, she led the GLA-commissioned 'Night Time Strategy Guidance' work, contributed to the Night Time Commission’s ‘Think Night’ report, and regularly conducts night walks as a way of engaging stakeholders. This walk, held in the evening, will focus on many of the unlit routes in central London – in search of urban darkness. Torches recommended. Sunday 20th Mar 2022 | 1100-1300 | Joseph Cook | Start: Hackney Wick Station | End: East Ham Station Joseph Cook is an anthropologist and boater. This walk will include sections of the River Lea, the Olympic site, and the site of UCL East, and will cover topics such as the housing crisis and London’s live aboard boating communities; the industrial history of the River Lea, and the continuing development of Stratford. Saturday 2nd Apr 2022 | 1100-1330 | Tom Chivers | Start: West Ham Station | End: To be confirmed Poet, author of the recent book ‘London Clay’, and keen mudlarker, Tom Chivers, will lead this walk of Bow Creek and the new developments happening at the Thames foreshore in east London. Sunday 10th Apr 2022 | 1100-1300 | Aude Vuilli | Start: Plaistow Station | End: QEOP Stadium Aude is a PhD Student at The Bartlett CASA. She is researching the integration of electronic sensors in green infrastructure to monitor ecological biodiversity. The walk will start at Plaistow Station and head south towards Lister Gardens and Plaistow Park, before joining the Green Way. The walk will then continue in the direction of the QEOP, stopping around Abbey Mills pumping station, Three Mills park and the  Pudding Mill allotments. It will explore the architecture and design of green and blue infrastructure, discuss possible actions to increase biodiversity, and shed light on some of the tensions between urban development and natural resources. If you have some binoculars, you might want to bring them with you! Saturday 24th Apr 2022 |1100-1300 | Paul Powseland | Start: Barking Abbey | End: Creekmouth Barking This walk will be led by barrister, activist, and Chairman of the River Roding Trust, Paul Powseland. The River Roding is London's third largest river and used to be home to the UK's largest fishing fleet. There is a wealth of memory and history along its banks, some of which are undergoing hugely intensive development, but some of which are silently retreating back into the Thames estuary mud. Join us as we explore these layers of past and present along the Roding."
6,The Bartlett expands flagship Promise Scholarship to Sub-Saharan Africa,https://www.ucl.ac.uk/bartlett/news/2021/dec/bartlett-expands-flagship-promise-scholarship-sub-saharan-africa,9 December 2021,"The Bartlett Promise represents a long-term commitment to attract and support students from a broader range of backgrounds to study at The Bartlett, in order to tackle the lack of diversity in the built environment sector. The scholarships cover fees, living and study costs for scholars, as well as professional and personal support and careers advice for the duration of their programme. Now, in its second year, the scheme currently supports 21 UK undergraduates, 13 Master’s and 4 PhD students with help from our valued donors Jestico + Whiles, Derwent London and the Aziz Foundation. Having established a unique UK focused scholarship which will grow with each successive year, The Bartlett are now extending their efforts internationally. Four scholarships will be open to students from Sub-Saharan Africa to join The Bartlett from September 2022, with applications opening from 1 March 2022. The scholarships are open to nationals of 48 Sub-Saharan African countries who have an offer of a place on a Master’s programme in any of The Bartlett’s nine schools, and are in financial need. In addition to the usual fees and living stipend, The Bartlett Promise Sub-Saharan Africa Scholarships will provide a comprehensive support package (including travel to/from the UK, study visa costs, health check costs and the NHS supplement payable in the UK) to ensure that scholars are able to take up their places and make the most from their experience at The Bartlett. Find out more Professor Christoph Lindner, Dean of The Bartlett, UCL, said: Professor Iain Borden, Vice-Dean of Education at The Bartlett, UCL, said: Sara Shafiei, Vice-Dean of Equality, Diversity and Inclusion at The Bartlett, UCL, said: Angharad Milenkovic, Vice-President Advancement at UCL, said: The Bartlett Promise works in partnership with donors who share our vision of enabling a more diversified and inclusive built environment. If you would like to find out how you can help play a part, please contact Anjali Singh, Senior Philanthropy Manager at a.singh@ucl.ac.uk"
7,UCL SSEES FRINGE Centre - call for proposals,https://www.ucl.ac.uk/urban-lab/news/2021/nov/ucl-ssees-fringe-centre-call-proposals,23 November 2021,"The UCL SSEES FRINGE Centre calls for proposals for small grant research projects for the 2021-22 academic year. In keeping with the FRINGE ethos, proposals should be broadly interdisciplinary in nature. We particularly welcome projects that: • embody or reflect upon the conception of Critical Area Studies (see below) as fostered at SSEES (The School of Slavonic and East European Studies) and at IAS (the Institute of Advanced Studies) • engage with the mission and themes of the FRINGE Centre (see below) • foreground critical visions, mappings and perspectives stemming from or rooted in (post-) socialist and/or (de-)colonial worlds All UCL academic staff and postgraduate research students are encouraged to apply and proposals will be evaluated by a multi-disciplinary committee of colleagues. The scope of projects is open, but can include funding to cover the cost of a symposium, a seminar mini-series, an exhibition or another type of research-rooted event. Given the short timeframe and the complexity of conducting research projects in the era of the Covid-19 pandemic, FRINGE will not at this time support fieldwork visits or overseas travel for UCL members of staff and research students. For examples of projects previously supported by FRINGE, see the Events section of the FRINGE Centre website. Please send one-page proposals (.doc or .pdf), including a short statement of purpose, project background, timeline and budget (max. L1,500) to FRINGE@ucl.ac.uk by 17 December 2021. Please also include your full name, UCL Department and job title or programme of study. The combined length of the statement of purpose and project background should not exceed 500 words and the whole document (Helvetica or Times New Roman, size 11) should not exceed one page of A4. Successful applicants will be notified by the end of January 2022. Funds should be spent and projects completed by July 2022, but there may in some instances be scope to extend the funding until December 2022. If you wish to extend your project until December, please provide a clear justification for doing so in your project timeline. Please direct any enquiries to FRINGE Director Dr Michał Murawski: m.murawski@ucl.ac.uk The FRINGE Centre explores the roles that complexity, ambivalence and immeasurability play in social and cultural phenomena. A cross-disciplinary initiative bringing together scholars from the humanities and social sciences, FRINGE examines how seemingly opposed notions such as centrality and marginality, and clarity and ambiguity, can shift and converge when embedded in everyday practices. Our interest lies in the hidden complexity of all embedded practices, taken-for-granted and otherwise invisible subjects. Illuminating the 'fringe' thus puts the 'centre' in a new light. The FRINGE Centre is an initiative founded by UCL’s School of Slavonic and East European Studies (SSEES), which works within the Institute of Advanced Studies (IAS) framework to pursue Critical Area Studies. Learn more about FRINGE Critical Area Studies Area Studies has often been understood not simply in contrast but indeed in subordination to the traditional academic disciplines: as mere application to a particular region of the general principles formulated within university disciplines. Critical Area Studies, by contrast, centres on the conviction that knowledge generated from the ‘bottom up’—that is, from particular contexts and with specialist understanding of local complexities—does not simply apply but in fact alters and even produces general principles. Further, Critical Area Studies is committed to the idea that interdisciplinary inquiry brings innovative perspectives that the traditional disciplines, or even multi-disciplinary combinations thereof, often overlook. "
8,Film screening: Breathing Space,https://www.ucl.ac.uk/urban-lab/news/2021/oct/film-screening-breathing-space,25 October 2021,"At the height of the first UK lockdown, East London’s Victoria Park closed its gates to visitors for the longest period in its 175-year history. In one of the country’s most densely populated boroughs, with high-rise blocks and severely overcrowded housing, many locals were deprived of access to green space altogether. Breathing Space is the result of a collaborative effort between UCL anthropology PhD student Caroline Wilson, Hackney-based artist Karolina Raczynski and the park’s community. In this experimental documentary film, park staff and visitors reflect on the local experience and understanding of this global pandemic. The accompanying imagery includes photography by interviewees and the filmmaker´s own video and microscope footage of the park´s animal and plant life. Breathing Space is intended as a meditation on the role of public green space and communion with nature in a borough with widespread deprivation and isolation. The film will be presented as a looped installation in the Hub building at Victoria Park from 11.00-14:30 with a Q+A at 15:00 hosted by the UCL Urban Lab. Book now via Eventbrite"
9,Black Urbanisms: a new podcast series from UCL Urban Laboratory,https://www.ucl.ac.uk/bartlett/news/2021/sep/black-urbanisms-new-podcast-series-ucl-urban-laboratory,30 September 2021,"The Bartlett is excited to announce the launch of Black Urbanisms, a new four-part podcast series from UCL Urban Laboratory to mark Black History Month. Using the influential work of sociologist Prof AbdouMaliq Simone on Blackness and the Urban as a starting point, this new podcast series sources different perspectives on the utility of the term ‘Black Urbanisms’ and what it can offer us as we think about cities and urban experience.Hosted by Dr Alana Osbourne (Université Libre de Bruxelles), Black Urbanisms emerges from two Urban Lab sessions curated by Prof Jennifer Robinson in 2019 as part of an international conference on emerging themes and critical methodologies at the frontiers of urban theory and practice and features contributions from Dr Lioba Hirsch, Prof Ola Uduku, Dr Hélène Neveu-Kringelbach, Victoria Okoye, Dr Evance Mwathunga, and Prof Wilbard Kombé. In the first episode, host Dr Alana Osbourne revisits excerpts of Prof AbdouMaliq Simone’s 2019 talk from the conference that considered the multiplicities of Black Urbanisms as a series of refrains, calls and responses, parallel but complicit investigations and makings. The aim here is to interpret some of his insights and transpose them to urban research in various cities.Other episodes, which will be released every Friday throughout October, consider Blackness as a form of unsettling in the racialised city, Prof Simone’s notion of the “hallucination of Whiteness”, and theorising from Africa. Find out more"
