,title,url
0,Job opportunity: Project Co-ordinator,https://www.ucl.ac.uk/urban-lab/news/2022/apr/job-opportunity-project-co-ordinator
1,Call for Papers: Deadline 24 April 2022,https://www.ucl.ac.uk/urban-lab/news/2022/apr/call-papers-deadline-24-april-2022
2,Seeking an Urban Room Curator,https://www.ucl.ac.uk/urban-lab/news/2022/mar/seeking-urban-room-curator
3,UCL Urban Laboratory's MASc Global Urbanism open to applicants,https://www.ucl.ac.uk/urban-lab/news/2022/mar/ucl-urban-laboratorys-masc-global-urbanism-open-applicants
4,Olympic Legacy Conference: Call for Contributions,https://www.ucl.ac.uk/urban-lab/news/2022/mar/olympic-legacy-conference-call-contributions
5,Urban Walks Series,https://www.ucl.ac.uk/urban-lab/news/2022/feb/urban-walks-series-0
6,The Bartlett expands flagship Promise Scholarship to Sub-Saharan Africa,https://www.ucl.ac.uk/bartlett/news/2021/dec/bartlett-expands-flagship-promise-scholarship-sub-saharan-africa
7,UCL SSEES FRINGE Centre - call for proposals,https://www.ucl.ac.uk/urban-lab/news/2021/nov/ucl-ssees-fringe-centre-call-proposals
8,Film screening: Breathing Space,https://www.ucl.ac.uk/urban-lab/news/2021/oct/film-screening-breathing-space
9,Black Urbanisms: a new podcast series from UCL Urban Laboratory,https://www.ucl.ac.uk/bartlett/news/2021/sep/black-urbanisms-new-podcast-series-ucl-urban-laboratory
10,Urban Laboratory Open House,https://www.ucl.ac.uk/urban-lab/news/2021/sep/urban-laboratory-open-house
11,UCL Urban Laboratory joins The Bartlett,https://www.ucl.ac.uk/bartlett/news/2021/sep/ucl-urban-laboratory-joins-bartlett
12,Urban Laboratory publishes 2019 - 2020 Activities Report,https://www.ucl.ac.uk/urban-lab/news/2021/jun/urban-laboratory-publishes-2019-2020-activities-report
13,"""Thinking Like a Climate"" book launch",https://www.ucl.ac.uk/urban-lab/news/2021/may/thinking-climate-book-launch
14,"Launch of Postgrad Urbanists, invitation to participate",https://www.ucl.ac.uk/urban-lab/news/2021/may/launch-postgrad-urbanists-invitation-participate-0
15,"Policy-making workshop: COVID, culture and freelance work in London",https://www.ucl.ac.uk/urban-lab/news/2021/apr/policy-making-workshop-covid-culture-and-freelance-work-london
16,Urban Agency III: Towards a sustainable integration of disciplines in urban studies,https://www.ucl.ac.uk/urban-lab/news/2021/mar/urban-agency-iii-towards-sustainable-integration-disciplines-urban-studies
17,Trans Urbanisms: Documenting and Creating Venues for Trans and Non-Binary Communities in London,https://www.ucl.ac.uk/urban-lab/news/2021/jan/trans-urbanisms-documenting-and-creating-venues-trans-and-non-binary-communities
18,The Palestinian Museum's 2nd Annual Conference,https://www.ucl.ac.uk/urban-lab/news/2020/dec/palestinian-museums-2nd-annual-conference
19,CfP ‘Night Stories: Urban Narratives of Migrant Lives in Europe’,https://www.ucl.ac.uk/urban-lab/news/2020/oct/cfp-night-stories-urban-narratives-migrant-lives-europe
20,Call for contributions: ‘Emergency’ student roundtable,https://www.ucl.ac.uk/urban-lab/news/2020/oct/call-contributions-emergency-student-roundtable
21,Introduction to the Urban Lab for new and returning UCL students,https://www.ucl.ac.uk/urban-lab/news/2020/sep/introduction-urban-lab-new-and-returning-ucl-students
22,Emergency: introducing Urban Lab's 2020/21 annual theme,https://www.ucl.ac.uk/urban-lab/news/2020/sep/emergency-introducing-urban-labs-202021-annual-theme
23,Further additions made to Urban Laboratory Steering Committee,https://www.ucl.ac.uk/urban-lab/news/2020/aug/further-additions-made-urban-laboratory-steering-committee
24,Ben Campkin interviews London Night Czar Amy Lamé,https://www.ucl.ac.uk/urban-lab/news/2020/jul/ben-campkin-interviews-london-night-czar-amy-lame
25,Staff promotions for 2019-20 announced by UCL,https://www.ucl.ac.uk/urban-lab/news/2020/jul/staff-promotions-2019-20-announced-ucl
26,Lo Marshall selected as an 'emerging voice in architecture',https://www.ucl.ac.uk/urban-lab/news/2020/jun/lo-marshall-selected-emerging-voice-architecture
27,Waste Photo Competition - winner announced,https://www.ucl.ac.uk/urban-lab/news/2020/jun/waste-photo-competition-winner-announced
28,Pablo Sendra and Rodney Harrison join Urban Laboratory Steering Committee,https://www.ucl.ac.uk/urban-lab/news/2020/may/pablo-sendra-and-rodney-harrison-join-urban-laboratory-steering-committee
29,Groundbreakers report on community mapping workshops published,https://www.ucl.ac.uk/urban-lab/news/2020/may/groundbreakers-report-community-mapping-workshops-published
30,Planning the Unplannable: what next for the still unpublished London Plan post-Covid 19?,https://www.ucl.ac.uk/urban-lab/news/2020/may/planning-unplannable-what-next-still-unpublished-london-plan-post-covid-19
31,Website on migrant night spaces in Europe launched,https://www.ucl.ac.uk/urban-lab/news/2020/may/website-migrant-night-spaces-europe-launched
32,"Report published on LGBTQ+ spaces in Camden, 1986-present",https://www.ucl.ac.uk/urban-lab/news/2020/apr/report-published-lgbtq-spaces-camden-1986-present
33,Urban Pamphleteer #8: Skateboardings published online,https://www.ucl.ac.uk/urban-lab/news/2020/apr/urban-pamphleteer-8-skateboardings-published-online
34,UCL Urban Lab Photo Competition 2020: ‘Waste’,https://www.ucl.ac.uk/urban-lab/news/2020/apr/ucl-urban-lab-photo-competition-2020-waste
35,Life Stories from Bar Elias - video produced as part of research co-conducted by DPU's Camillo Boano,https://www.ucl.ac.uk/bartlett/development/news/2020/apr/life-stories-bar-elias-video-produced-part-research-co-conducted-dpus-camillo-boano
36,‘Stay at Home’: Housing as a pivotal infrastructure of care?,https://www.ucl.ac.uk/urban-lab/news/2020/apr/stay-home-housing-pivotal-infrastructure-care
37,Audio: Sexuality at Home,https://www.ucl.ac.uk/urban-lab/news/2020/apr/audio-sexuality-home
38,Watch: Urban Lab Films available to stream at home,https://www.ucl.ac.uk/urban-lab/news/2020/mar/watch-urban-lab-films-available-stream-home
39,Housing academics write open letter to UK government on coronavirus,https://www.ucl.ac.uk/urban-lab/news/2020/mar/housing-academics-write-open-letter-uk-government-coronavirus
40,Lo Marshall appointed as Research Fellow,https://www.ucl.ac.uk/urban-lab/news/2020/mar/lo-marshall-appointed-research-fellow
41,UCL Urban Laboratory statement on coronavirus,https://www.ucl.ac.uk/urban-lab/news/2020/mar/ucl-urban-laboratory-statement-coronavirus
42,Study on safety in London's public spaces for women and girls released,https://www.ucl.ac.uk/urban-lab/news/2020/mar/study-safety-londons-public-spaces-women-and-girls-released
43,UCL Urban Laboratory is now 100% Powered by Plants,https://www.ucl.ac.uk/urban-lab/news/2020/feb/ucl-urban-laboratory-now-100-powered-plants
44,New-builds and the climate emergency,https://www.ucl.ac.uk/urban-lab/news/2020/feb/new-builds-and-climate-emergency
