,title,url,date,text
0,Fellows Spotlight: Dorraine Duncan and Jhordan Channer,https://urbandesignforum.org/fellow-spotlight-jhordan-channer-and-dorraine-duncan/,"March 25, 2022","For this month’s Fellow Spotlight, we spoke with Jhordan Channer and Dorraine Duncan, co-founders of Island City Lab. Island City Lab is a think-tank that confronts the defining issues affecting the built environment of island nations co-founded by Urban Design Forum Fellows Jhordan Channer and Dorraine Duncan. Aiming to develop a network of urbanists, Island City Lab sees the need for the creation and dissemination of best practices in the urban development of Caribbean towns and cities. A major goal for the organization will be to convene stakeholders and break down silos across design, real estate, transit, housing, sustainability, and policy sectors to share new ideas around major urban issues and interrogate commonly held ones. Below, we talk with Jhordan and Dorraine about what’s to come from Island City Lab. At Island City Lab, you’re convening stakeholders and sharing knowledge around critical issues affecting island cities. Why is there a need–specifically in the Caribbean–for a center that encourages a network-based approach to urban issues? DD: Right now–especially in the climate space–there is a lot of attention on the islands. There is this ideology that the islands are the “canary in the coalmine.” That as the populations on the frontlines we will be experiencing the impacts of climate change the fastest and the hardest. And that only from observing our experiences, people outside the region can then learn what to expect and hopefully act. This type of attention means that most of the research and expertise still comes from outside the region and relies on external dollars. Yet, there are lots of talented people here who understand the way our cities operate and the particular vulnerabilities that we face. The real hope is that we’ll build this network of researchers and start collating this knowledge. We want to be the space where that research and experience is held, housed, and disseminated, which is important in order to achieve what we want to see in the Caribbean. JC: What we also want to do is create more transparency around the processes that produce our cities and environments and challenge ideas about who has a voice in how our cities form. One thing we really emphasize is tapping into lived and learned experience and creating connections across class and professional barriers. Tapping into the people who are experiencing the environment is as important as the people who are studying it from a high level. How did your experiences in New York lead you to create Island City Lab? DD: We moved to New York in 2018 and very early on became embedded in these multidisciplinary networks of people who work on the built environment. Whether it was through our jobs or through professional societies like DivComm, we got very used to the idea of working with a broad slew of professions across the sector. Tackling urban challenges necessitated a broad, silo-breaking approach. Seeing that work in New York got us into thinking what that approach would look like for the Caribbean.JC: New York has really strong civil society groups which expanded our ideas about our role as urbanists. During the Forefront Fellowship, we got to interact with a lot of these groups for our projects. Groups like Blackspace, for example, really fostered us as urban professionals. Blackspace’s manifesto is really foundational to how we think about Island City Lab. Dorraine Duncan with members of her 2019 Forefront cohort at “Invisible Networks: Everyday and In Times of Crisis“ You were both Forefront Fellows–Jhordan in 2020 and Dorraine in 2019. Was that experience helpful in informing your approach? DD: Forefront was a very unique and transformative experience for us. The power of convening people is underestimated. The simple benefit of saying, ‘alright, I’m creating a space for you guys to come here together and learn and explore,’ is a big deal. So many people are excited to explore urban issues; different, or broader than the issues they focus on for their jobs and unfortunately a space for that type of urban learning doesn’t really exist regionally in the Caribbean. The other benefit of creating this type of space is that you realize the limitations of your own skills and profession and become a bit humbled. JC: Even as a methodology, this network based approach that we learned in Forefront taught us that you don’t always have to be the expert, but you can talk to the expert. That kind of approach is really inspiring. We can apply it to the Caribbean – there’s a lot of expertise on the ground here. This can create real transformation in the governance of our urban environment. How are you hoping to expand interest in this work to the general public? JC: Our vision is to be a resource for good urban governance, specific to our context, and really bridge this gap across the Caribbean. Each person living in a city is an urbanist and they should have a say on how their environments are produced. We really want to think about the Caribbean regionally and foster this network for people engaged in urban life. To build a base of urban research that acts as a repository of assets that people can tap into that is digestible and understandable by the public as well as specific audiences. DD: Being a Fellow, there is an understanding that there is a strength in this network. The most exciting and inspiring part of UDF is your ability to extend that network in service of your Fellows and their aspirations and pursuits. I really hope that we’re able to do that at Island City Lab as well. I hope we can make those connections across the region because it is a very useful resource and something we are dedicated to growing and developing. “Caribbean Women in Architecture,” a lecture series presented by CASA in association with Island City Lab Tell us about the series on Caribbean women in architecture and what you have coming up in the next few months? JC: The Caribbean Women in Architecture series is a collaboration between us and the Caribbean Architecture Students Association (CASA), a student group within the Caribbean School of Architecture. When I was teaching there, there was no real space for us to have professional discourse around the state of practice. With this series, the students want to bridge the gap between academia and professional practice and another gap between the islands on issues affecting the profession of architecture. These are intelligent, visionary students, and we believe leadership comes from diverse places. I really want the Lab to help youth leaders create a platform for themselves. DD: The other event series we are planning is “Water is Life: Climate Adapted Cities.” The IPCC reports say that water security is going to be the defining issue for small islands. With this series, we’re trying to bring in different professionals to discuss solutions to island level water security. We want to explore how updated building codes, zoning, density laws, and green infrastructure can help protect, preserve and recharge our water resources. Solutions to these challenges already exist already in the Caribbean. For example, Bermuda has mandated rainwater catchment in all homes for decades. There are islands out here that have very innovative solutions and indigenous approaches and designs. We’re excited because we’re looking across the Caribbean for innovation and expertise and discussing in what context these solutions may be feasible for other islands. ""As urbanists, we talk a lot about climate migration, and it can seem very abstract and long-term. However, it is a reality now in the Caribbean."" What lessons do you think that practitioners here in New York could probably learn from island cities? JC: One is that New York is a major financial center, so it can produce a lot of funding and innovation hubs for technology and large infrastructure projects that are advertised as the solution to urban ills. However, we’re finding in our conversations on the Caribbean that the key is really about good governance of our urban environment and the institutions that manage it. With limited resources, the first reaction here is usually not to spend money, but to think about how to strengthen the institutions that manage and steward the urban environment. New York could really learn from the Caribbean in this sense. I also think New York is going to learn that if the island situation isn’t sorted, immigration from our islands into US cities is going to be major. Investing in research around loss and damage in the Caribbean is extremely important. DD: As urbanists, we talk a lot about climate migration, and it can seem very abstract and long-term. However, it is a reality now in the Caribbean. It’s a very dangerous confluence of climate-based migration followed by disaster capitalism. Barbuda, an island in the Eastern Caribbean where the majority of the population has been displaced because of Hurricane Irma now has to fight off billionaire real-estate investors who are snatching their land to set up luxury hotels. You can almost imagine hearing a story like this in NYC too, where displacement of the marginalized is worsened by extreme vulnerabilities to weather combined with extreme unfettered wealth. New York may not be a [Caribbean] island, and is definitely not as vulnerable as we are – but the same climatic and economic forces that affect us will definitely also impact you all. What are the personal habits and activities that help inspire and motivate you on a day to day basis? DD: We’ve moved to a bit of a more suburban lifestyle in Jamaica that is very different from our Flatbush apartment. We have a lot of yard space and we were like, ‘what are we going to do?’ So, we took up gardening, and it’s been the most therapeutic and meditative act. As someone who is trying to start an organization, patience is something that I’m not very good at…!JC: Gardening really taught me to foster and anticipate things. I feel like our successes in gardening filters into other successes and teaches you how to deal with failure. It’s an amazing metaphor. Jhordan Channer prepping soil to plant a tamarind tree in their yard in Jamaica Anything you’d like to share with the UDF network? DD: Both Jhordan and I were on student visas for the entire time we were in the US. We applied for work visas and both of us were unsuccessful. In New York, there are so many immigrants doing really exciting things, but their immigration status is so fickle. It’s based on policies, but also luck of the draw. Being unsuccessful and having to leave the country was a shock to our system. Jhordan and I were starting to make so many plans for our future in NYC and then all of that was suddenly taken away from us. It was sad, but that’s a common story for lots of immigrants across the US. That kind of heartbreak led us to this moment. I feel like it’s valuable to know that after that sadness there are opportunities to find your footing back home. JC: Also getting reacquainted with your city–the city that you were born in–is an incredible process. Understanding the city again, loving it for taking care of you before you went away, and ultimately wanting the best for it… in a way, that inspired us to start Island City Lab. Immigration is part of the Caribbean experience–if you’re privileged enough to do so–and now we want to foster what we have here. I want that for all Caribbean people. Dorraine Duncan is a city planner and policy analyst that explores issues at the intersection of environmental sustainability and equitable economic growth. Her research and analytical skills have been applied to renewable energy, climate resiliency, food security, open space development, and conservation in the United States, Mexico, Singapore, and Jamaica. Jhordan Channer is an urban designer who borrows a set of tools from planners, policy analysts, and activists to engage with urban issues. He has applied this toolkit in the design and research of public space, public infrastructure, and architectural projects in Kingston, New York City, and Atlanta.To learn more about Island City Lab, and sign up for their upcoming events, check out their social media, and sign up for their newsletter here. This conversation is the first of our Reconnect Conversations focused on building community at the Forum through conversations, events, and gatherings for our Fellows. This interview has been edited and condensed for clarification purposes."
1,Neighborhoods Now: In Conversation with Ryan Gilliam,https://urbandesignforum.org/neighborhoods-now-in-conversation-with-ryan-gilliam/,"April 30, 2021","We are excited to continue our Neighborhoods Now initiative with Asian Americans for Equality (AAFE) and Think!Chinatown in Chinatown and Banana Kelly in the South Bronx. Additionally, we expanded our partnership with FABnyc in the Lower East Side. These working groups will reenergize outdoor spaces to support community programming and cultural revitalization. These next few weeks, we will be rolling out interviews with the representatives of each organization to learn more about their history, some neighborhood insights, and what they hope to achieve through Neighborhoods Now. Check out our feature below with Ryan Gilliam, Executive Director of FABnyc. Marvel, SHoP, and Buro Happold will be helping FABnyc expand their Neighborhoods Now collaboration with four new member organizations: Frankel Theatre, KGB Bar / Red Room, Loisaida Inc., and Performance Space New York. Together they will develop reopening strategies tailored to needs of smaller performing arts organizations, including ways to participate in New York City’s Open Culture program. Tell us a little bit about your organization. Ryan Gilliam: FABnyc began as a coalition of arts and community organizations on East 4th Street working together to stay in a handful of city buildings which we’d fixed up over several decades. With broad community support, we were successful in stopping them from going to auction and instead transferred to local groups, establishing the East 4th Street Cultural District, the densest single block of arts activity in NYC. FABnyc’s mission grew and today we focus on the cultural vitality of the entire Lower East Side. Site visit at Loisaida, Inc. Photo: Jonathan Molloy What types of work has your organization been involved in and what are some issues that this community still faces? RG: The Lower East Side has been struggling with the ongoing impacts of gentrification and displacement. Despite tremendous pressure, residents have organized successfully in ways that have protected affordable housing, supported small businesses, deepened resilience, and preserved the diverse cultural character of the community. FABnyc is a partner to the community, bringing artists and arts practices to creatively collaborate in addressing community issues. Site visit at the Gene Frankel Theater. Photo: Jonathan Molloy What makes this neighborhood special? RG: The Lower East Side — which we define by its historic boundaries from 14th Street to Canal, the East River to Chinatown — has a remarkable history as a home to working class and poor immigrants, artists, radicals, and visionaries. The LES has a long history as an inclusive, welcoming place with a creative spirit and commitment to social justice. The murals, bodegas, community gardens, active social service organizations, small theaters, restaurants, political vibrancy, and street life all reflect that character. What are some neighborhood spots that are most important to people in this community? RG: Honestly, there are too many to name. We love our open spaces like Tompkins Square, festivals like the Loisaida Festival, hole-in-the-wall bars, tiny restaurants where they know you. We have a lot to mourn that’s been lost to displacement, so we tend to make strong attachments to those who have deep roots here — the theaters of 4th Street, the settlement houses, the entire bustling hub that is Chinatown — but also the people, so many of whom have spoken out, organized, and fought to keep the spirit and connectedness of community alive. Site visit at the Gene Frankel Theater. Photo: Jonathan Molloy What are you hoping to achieve through this partnership and where are you now in your work with Neighborhoods Now? RG: We have not only been able to prepare more than a dozen performing arts organizations for re-opening after a year of closure, but we are now working with our design partners to celebrate FABnyc’s 20th year, by imagining the next 20. It’s a unique opportunity to create a real vision of our mission — to imagine ways to support the cultural life of a community while centering that vision in equity, access, and resiliency. We’ve just had our first brainstorm together and are excited for what’s to come. Photos: Jonathan Molloy"
2,Neighborhoods Now: In Conversation with Ian Gray-Stack,https://urbandesignforum.org/neighborhoods-now-in-conversation-with-ian-gray-stack/,"April 1, 2021","We are excited to continue our Neighborhoods Now initiative with Asian Americans for Equality (AAFE) and Think!Chinatown in Chinatown and Banana Kelly in the South Bronx. Additionally, we expanded our partnership with Fourth Arts Block in the Lower East Side. These working groups will reenergize outdoor spaces to support community programming and cultural revitalization. These next few weeks, we will be rolling out interviews with the representatives of each organization to learn more about their history, some neighborhood insights, and what they hope to achieve through Neighborhoods Now. Read an interview with Ian Gray-Stack, Director of Community Organizing at Banana Kelly. The South Bronx working group will reactivate community gardens in Longwood, Hunts Point, Morrisania, and Mott Haven, allowing for safe outdoor activities and services that address neighborhood needs. Tell us a little bit about your organization. Ian Gray-Stack: Battling city intentions to demolish every building that was not slated for renovation through a federal program, the residents on that section of Kelly Street known as “Banana Kelly” took matters into their own hands and, in 1978, “liberated” three buildings to begin the long process of rehabilitation through “sweat equity.” Over 40 years later, Banana Kelly has expanded its portfolio to around 65 affordable housing buildings across the Hunts Point and Longwood neighborhoods and continues to fight for high-quality affordable housing by organizing residents and other community members and providing the direct services and resources necessary for residents to come together and take action. What types of work has your organization been involved in and what are some issues that this community still faces? IG: We have three main departments: property management, direct services, and community organizing. We provide tenants with wrap around services like eviction protection and rental assistance, while also organizing them into tenant associations and block associations so that they can deepen relationships with their neighbors, identify common issues, and begin to strategize possible actions that will lead to concrete changes. Several of our buildings are also connected to community gardens which serve as hubs in those areas for the work that residents are steering. Most recently, our work has focused on providing families with direct COVID-19 relief such as emergency food deliveries, PPE supplies, and virtual workshops focusing on various aspects of the current pandemic. What makes this neighborhood special? IG: There is a lot that makes our neighborhood special, but in my personal opinion I think it’s the diverse mixture of people that has always made it such a unique place. So many different people from across the country and the globe living side by side has led to amazing new artistic and culinary creations that have gone on to become globally sensationalized: hip hop, graffiti, breakdancing, and salsa to name a few. What are some neighborhood spots that are most important to people in this community? IG: This is a difficult one for me to answer because I’ve been working in these two particular neighborhoods for only a year and all during a pandemic, but one that jumps to mind is Concrete Plant Park, a recently redesigned stretch along the Bronx River with seating areas, a bike pathway, and diverse grasslands plants. Another important neighborhood spot is Casita Maria, which provides a wide range of youth and arts programming. What are you hoping to achieve through this partnership? IG: With this partnership, I hope to work with residents to design short, medium, and long-term visions for each of our 5 community gardens, as well as a plan for implementation. I’d like to use the design process to facilitate the development of garden committees and tenant associations that can help design the vision for their garden and then facilitate the implementation of this vision going forward. Right now, we have conducted site visits and have begun to formulate these visions for all of our gardens and in doing so have re-engaged some of our long-standing garden leaders. Some of the pieces of these visions will be implemented before the end of the Neighborhoods Now partnership and some pieces will be ongoing organizing projects taking us at least to the end of this year. Photos: Ian Gray-Stack and Alisha Kim Levin"
3,Neighborhoods Now: In Conversation with Yin Kong and Thomas Yu,https://urbandesignforum.org/neighborhoods-now-in-conversation-with-yin-kong-and-thomas-yu/,"March 24, 2021","We are excited to continue our Neighborhoods Now initiative with Asian Americans for Equality (AAFE) and Think!Chinatown in Chinatown and Banana Kelly in the South Bronx. Additionally, we expanded our partnership with Fourth Arts Block in the Lower East Side. These working groups will reenergize outdoor spaces to support community programming and cultural revitalization. These next few weeks, we will be rolling out interviews with the representatives of each organization to learn more about their history, some neighborhood insights, and what they hope to achieve through Neighborhoods Now. Check out our first feature below with Yin Kong, Director of Think!Chinatown, and Thomas Yu, Co-Executive Director of AAFE. The Chinatown working group will develop a proposal to adapt Forsyth Street Plaza into an open-air market supporting local Chinatown businesses and cultural groups. Tell us a little bit about your organization. Thomas Yu: Asian Americans for Equality, or AAFE, was founded nearly five decades ago by local residents and activists who rallied for racial justice and equal opportunities in Chinatown and for all communities in need. Yin Kong: Think!Chinatown is an intergenerational nonprofit. We’ve been growing steadily and rapidly since we started about four years ago. Our aim is to overcome barriers of community organizing where socioeconomic factors, language, and cultural barriers create challenges for immigrant communities’ autonomy to make decisions in their own neighborhood. What types of work has your organization been involved in and what are some issues that this community still faces? TY: AAFE advances the lives of low-income, immigrant and minority New Yorkers through social services, affordable housing development, economic opportunity, and advocacy. Our core communities, such as Chinatown, still face disinvestment from the City for fair share of resources, diminishing affordable housing, economic impact from pandemic, lack of access to capital, poverty, and racial discrimination. YK: Led by myself and Board President Amy Chin, T!C’s Chinatown Arts Week produces several cultural events throughout the week, all of them free to the public. By presenting grassroots Chinatown artists and emerging Asian American artists together in a collaborative partnership, we hope to bring the generations together and connect with a wider arts audience. With the pandemic, there has been both increased need and increased attention and support for our community. Our output in the past year has sharply increased, and we need to build our organization so it can continue to do this work. What makes this neighborhood special? TY: Chinatown is the spiritual and cultural core of one of the largest Chinese American communities in the Western Hemisphere. YK: It not only serves the local residents, but also a greater API community who finds a sense of home in the neighborhood. In this difficult time, it’s been wonderful to see how the greater community has supported the neighborhood to ensure the survival of our collective cultural home. Once businesses or cultural organizations are gone, that cultural knowledge goes with them. What are some neighborhood spots that are most important to people in this community? TY: All our public spaces are precious to our community, because we have one of the fewest open space ratios per person in the entire city. YK: Because we don’t have a ton of open space, our restaurants and small businesses are really the hotspots of our community. With our ‘Assembly for Chinatown’ project, we constructed fully subsidized, code compliant outdoor dining solutions for Chinatown restaurants. By taking on the design challenges of adjusting to post-COVID set-ups, we aim to protect these important cultural hubs throughout our neighborhood. What are you hoping to achieve through this partnership? TY: [We want to] activate that scarce public space in Forsyth Plaza to be a cultural sanctuary for local residents and all New Yorkers. YK: We’re hoping to work on creating infrastructure for a night market in the plaza — financial mechanisms, marketing, design & construction of vending carts, administration of regulations — that will support a night market of food vendors along Forsyth. We fear inequity in the recovery period will result in accelerated displacement in Chinatown. By connecting mom & pop immigrant businesses and grassroots arts groups with the technical support of architects or the language and communication support of bilingual volunteers, we hope to give these businesses the tools they need to survive the economic crisis. Photos: Alisha Kim Levin"
4,Turning the Heat Collection of Proposals: Introduction,https://urbandesignforum.org/turning-the-heat-collection-of-proposals-introduction/,"December 15, 2020","The Urban Design Forum’s 2019 Forefront Fellowship, Turning the Heat, addressed ways how urban practitioners can advance climate justice principles across New York City. In partnership with the Mayor’s Office of Resiliency, Fellows surveyed neighborhoods, studied buildings, interviewed local and international stakeholders, and produced creative research on mitigating heat. Fellows developed original design and policy proposals on creating circular economic and sustainable models in NYC, developing community resiliency within NYCHA housing, factoring design into preventative care, and establishing a climate first approach to housing which we are pleased to publish alongside interviews with leading experts. Read the full compilation of Turning the Heat proposals and interviews here. By Katherine Sacco This collection presents the work completed by the Urban Design Forum addressing climate justice issues in New York City through the 2019-2020 Forefront Fellowship. Created in 2016, the Forefront Fellowship is an annual program cultivating emerging leaders in urban design, advocacy, development, and policy. Our 2019 Forefront Fellowship, Turning the Heat, explored how urban design can confront the climate risks facing vulnerable neighborhoods in New York City. In the first phase of the Fellowship, our work focused on extreme heat. From May to July 2019, our Fellows partnered with the Mayor’s Office of Resiliency (MOR) to address how urban design can mitigate the impacts of extreme heat in New York City’s most heat vulnerable neighborhoods. Fellows spent three months studying diverse building typologies, surveying five neighborhoods, and interviewing nearly 40 New York-based and international stakeholders, to produce recommendations for strengthening heat resiliency across the city. Equipped with the knowledge from their summer work with MOR, our Fellows then developed independent projects exploring how design can advance climate justice across New York’s housing, health, food, waste, and water systems. From September 2019 to March 2020, Fellows organized evening events, interviewed community leaders, studied case studies, and developed original design and policy proposals that are presented here. This compilation collects the original design and policy proposals developed by the Fellows on mitigating the public health impacts of climate change; closing the loop on the city’s food, waste, and water systems; supporting community-led resiliency strategies; and taking a fair-share approach to solving the housing crisis while also strengthening climate resiliency. Each proposal is accompanied by interviews with leaders in climate justice and design, including Gretchen West, Will Sibia, Jeffrey Moelis, and Chloe Arnow. Our aim in presenting these ideas is to ignite a debate about how to build a more just, resilient, and equitable city for New Yorkers facing the increasingly urgent impacts of climate change. We hope you will share your ideas with us."
5,Turning the Heat: An Interview with Chloe Arnow,https://urbandesignforum.org/turning-the-heat-an-interview-with-chloe-arnow/,"December 14, 2020","The Urban Design Forum’s 2019 Forefront Fellowship, Turning the Heat, addressed ways urban practitioners can advance climate justice principles across New York City. In partnership with the Mayor’s Office of Resiliency, Fellows surveyed neighborhoods, studied buildings, interviewed local and international stakeholders, and produced creative research on mitigating heat. Fellows developed original design and policy proposals on creating circular economic and sustainable models in NYC, developing community resiliency within NYCHA housing, factoring design into preventative care, and establishing a climate first approach to housing which we are pleased to publish alongside interviews with leading experts. The following interview with Chloe Arnow, Project Manager at Enterprise Community Partners, accompanies Community Resiliency. Read the full set of Turning the Heat proposals and interviews here. Dorraine Duncan: Could you talk about what Enterprise Community Partners is and your role there? Chloe Arnow: Enterprise is a national affordable housing organization and has been around for 40+ years. We have an investment arm, we have a policy arm, and we have a program arm. I work on the program side with the public housing team. Previously, I was working in different aspects of kind of food systems, and came into housing interested in the food conditions of the communities that we serve. I realized it was an untapped area of opportunity for the programmatic model that Enterprise used to create healthy and connected communities. We have a strong health and housing platform so I started advocating for including food conditions as part of how we define health and housing. In 2014, Enterprise produced a report that outlined a number of barriers that public housing residents face with food access and affordability. NYC has one of the most prolific delivery infrastructures in the world. Time is money and for low income New Yorkers, time is even more so, money. More and more folks are getting groceries delivered, but because of a number of barriers, public housing residents typically have been locked out from the usage of this. More and more folks are getting groceries delivered, but because of a number of barriers, public housing residents typically have been locked out from the usage of this. How can housing be used as a platform to address some of the food insecurity? DD: In 2019, Enterprise organized a pilot project for NYCHA residents to access grocery delivery using Supplemental Nutrition Assistance Program (SNAP) benefits. What sparked this pilot project at the Farragut Houses? CA: The footprint of public housing overlays perfectly in New York City with the most food insecure conditions. The population that lives within NYCHA is the same as the population of Atlanta, Georgia—500,000+ people. They should actually be some of the most powerful consumers in New York City with a customer segment of that size. But these are the consumers with the least power. They have been completely isolated and cut off from quality goods and services, including access to quality, affordable groceries. There is now a wave of corporations that are turning their attention to tapping the low-income market as the last frontier. How do we ensure that residents as users are represented at the table to negotiate the maximum benefit and set the terms of those relationships as they begin to form? We started fundraising around our idea and gained a good amount of funder interest. We then started building a project team of Enterprise, the Fund for Public Housing, NYCHA, and the CUNY Urban Food Policy Institute as our evaluators. We raised around $400,000 over 11 months. In August of 2018, the project team kicked off the site selection process and narrowed down from six hundred prospective sites to the Farragut Houses. To do that, we created a massive scorecard of criteria, aggregating data on all of the developments and Farragut came out on top. DD: Could you speak to what criteria you used to look for which complex to look to work with? CA: We looked at demographics and made sure that the development was representative of other NYCHA developments. For example, making sure there wasn’t a disproportionate ratio of seniors to youth. Another criteria within the long list was making sure that the food conditions in the community were not extreme one way or the other. In August 2018, we decided on Farragut and then in October 2018, we started going on site to engage and recruit residents. The pilot was really founded on a philosophy of user-centered design. When users design solutions, they’re exponentially more effective and outcomes are exponentially more impactful. We brought these general hypotheses, resources and expertise to the table for the residents of Farragut to design their own food access and affordability solution. Photo: Jules Antonio Our first job was to create relationships and build trust with influencers in the community, whether that’s the Tenant Association or people who are known to be involved in different organizing efforts. We started to work with Brooklyn Community Services– they are the local operators of the community center at Farragut and they work in a number of different NYCHA communities. They assisted us with the recruitment events and met every Thursday for seven months. We landed with a Leadership Committee of seven residents who would operate the club. Currently, four of the original leaders remain and two new leaders are coming on board. The residents then used our expertise to create a service model that worked for them. They chose to work with Amazon as it was one of three firms that have the rights to pilot the rollout of online SNAP benefits in New York City. Walmart was not an option as they do not have physical stores in NYC and theirs is a store based model. Wakefern was unresponsive. The residents chose Amazon because, if they’re buying groceries online, it’s an absolute necessity for a majority of the population to be able to use their SNAP and Amazon was responsive and eager to partner. In the partnership with Amazon, the residents pointed out a number of usage and access barriers that needed to be solved in order for online delivery to be successful. In public housing developments, there are no door personnel to accept deliveries. If you’re not home, there’s no safe, secure delivery infrastructure that’s flexible for pickup at your convenience. No one wants fresh groceries sitting on your doormat while you are at work. Also, for seniors or other homebound individuals, there was a lack of comfort to open the door for delivery personnel that they didn’t know. Virginia, the director of distribution, received all the orders at the community center. We have a commercial fridge and we have a lock storage. She receives all the deliveries, sorts them, makes sure they’re stored equally, and keeps them fresh. She also coordinates either a familiar face to make the home delivery or she coordinates a convenient pickup time for folks to come to the community center. The other barriers that had to be addressed in the partnership with Amazon were all of the fees with buying groceries online and getting them delivered. The Farragut Food Club said we need the Prime membership fee waived and delivery minimums lowered. Amazon eliminated minimums in all grocery categories except Amazon Fresh. They also requested that the packages come at a desired day and at a desired time. Amazon built out an aggregation mechanism to ensure all the packages came in an efficient manner. Service is also provided with their second partner, which they selected as Western Beef. The residents love the price and quality, and wanted to be able to get that delivered. That partnership is actually made possible through a third party. Instacart also agreed to waive the membership fees and the delivery fees, and they deliver the Western Beef groceries to the food club. There’s a ton of computer literacy and digital equity issues that go into enabling this population to take advantage of online SNAP and grocery delivery. The food club helps people register, make Amazon or Instacart accounts, make an email to make those accounts, and make sure folks have access to a computer, either in the computer lab of the community center or using a hotspot in their home. An important role is also assisting members in price comparisons and other bargain hunting tactics which are not easy to navigate on Amazon’s platform. They will also go and make home visits to make sure that people know how to use their EBT card on Amazon. There’s a wealth of computer literacy training that needs to happen to connect these dots. DD: This is an amazing program. What kind of metrics are you using to evaluate the impact? Are cost-saving or timesaving metrics taken into account? CA: From July to November, we operated the prototype. During that time, over 250 orders had gone through the club. We had originally had metrics of serving 30 to 50 people in that window, but we don’t actually know how many unique users are in that 250 number because Amazon didn’t give that to us. Still, 250 orders going through was far beyond kind of our metrics of success. Having such a short pilot didn’t give us the ability to measure health outcomes. However, I think we all agree on the philosophy that if people can afford healthy food and it is very convenient for them, their chances of actually making healthier choices go up. In terms of actually quantifying the time and money saved, we know that people who shop are using an entire Saturday to get onto trains and a bus to go to your Costco or BJs, or go and bargain hunt at four different supermarkets, and then pay to transport groceries with a car service. We know for a fact that this intervention eliminates that time and those transportation costs for folks. If you compare that to the 30 minutes that it takes someone to shop online, time savings there is helpful. We did see that the price points aren’t radically different, so I think the money savings really comes with the lack of need to pay for transportation going to and from the store. How do you actually quantify those values? How do you quantify being able to spend a whole day with your family? In the long run, it’s going to be interesting to see how we can quantify time and money savings that we see over a longer period of time. DD: As this pilot study moves on and you begin assessing it with the funders, have you talked about the idea of scaling up and the ability to then negotiate more favorable terms with either Western Beef or Amazon? CA: The goal is to find how we can position housing residents to design and own their own solutions, and then create value and revenue to sustain them, creating income and potential job opportunities. The goal is to find how we can position housing residents to design and own their own solutions, and then create value and revenue to sustain them, creating income and potential job opportunities. Essentially, the Farragut Food Club realized that convincing their neighbors to try something new translates to people essentially being the brand ambassadors for this new service. Brand ambassadors and influencers get paid to introduce new services and they will kind of be the currency of trust that’s behind behavior change. The residents realize that the brand ambassador service that they’re providing— outreach, awareness, education, screening, and computer literacy —are what people in the marketplace get paid for. We’re currently exploring the different revenue streams that could potentially turn into a sustainable business model, the mechanism that will allow for replication and scaling, and providing an incentive to grow it at the current site. The Farragut Food Club model is the only current model that is dealing with this gap in the consumer chain that is crippling uptake of Online SNAP. There is a huge opportunity to negotiate with retailers that are rolling out online SNAP in some other cities. We have a massive opportunity to also collectivize our leverage to create standards and negotiate the maximum community benefits and investment in these models. We are advocating for residents that is based on all of the areas I described: brand ambassadorship, the theater with the digital access, the last mile delivery, and the exploration of employment pathways. We are also looking at other cities and serving as an example to roll out similar models such as Seattle and Baltimore. Coordinating with other cities is important so that when these retailers like Amazon do approach, there are standardized terms and communication infrastructure to reply upon. One thing I want to point out is that as we explore a revenue stream that would be possible to support this, where we’re also in parallel exploring a cooperative model as a viable structure. DD: As this pilot grows and maybe other cities jump on board, do you think that this kind of delivery model is transferable to other goods and services outside of food, such as resilience-related services? CA: The Farragut Food Club created a hub of collective advocacy within a community. It doesn’t matter that food was the impetus for this. What matters is the strength that all-women-run groups have created between themselves and with their community members. What if everyone had a monthly or bi-monthly purchasing match of an extra canned good and it was stockpiled in a reserve in case of any extreme event facing the community? Could we use this Farragut Food Club network as a communication hub in times of emergencies such as extreme weather events? It’s a grassroots form of creating really strong networks and communication networks for maintenance that are trusted and community based. DD: How do you attract someone to something like this? What’s the organizing mentality? CA: I see it in a multitude of ways. The president of the club has had this organizing spirit her whole life, which is very unique. I also think the club gives a sense of purpose and a sense of community in some of these women’s lives that are extremely difficult in a lot of other ways. They have gotten to know each other and they’ve gotten to know a lot of their other community members that they didn’t get to before. I think on a human level, it’s what people look for. Chloe Arnow is a co-founder and CEO of the Farragut Food Club. Chloe has worked at the intersection of sustainable and just food systems, community development and public health for the entirety of her professional career. During her time at Enterprise Community Partners as a Project Manager, Chloe co-founded the Farragut Food Club. Prior to her role at Enterprise, she pioneered food waste management strategy for Sodexo at Tulane University- launching a food recovery program as well as a reusable container program that continues to divert over 200,000 plastic containers from landfills each semester. In Brownsville Brooklyn, at Community Solutions, Chloe worked closely with public housing residents to design food programming ranging from cooking demonstrations to tailoring the NYC Healthy Bodega Initiative to preferences defined by the community. Header image credit: Chloe Arnow"
