,title,url,date,text
0,OUT IN SPACE: DIFFERENCE AND ABSTRACTION IN PLANETARY URBANIZATION,http://archive.urbantheorylab.net/publications/out-in-space/,,"Hillary Angelo and Kian Goh, ""Out in space: Difference and abstraction in planetary urbanization,"" International Journal of Urban and Regional Research. DOI:10.1111/1468-2427.12911. A common thread has emerged in recent critiques of planetary urbanization.  Whether on empirical, epistemological or theoretical grounds, critics tend to posit ‘difference against abstraction’, arguing that planetary urbanization––as an abstract theory of large-scale phenomena––occludes ‘everyday’ embodied, small-scale and place-based forms of social difference in its production and/or application. Here we engage with this critique as two queer, feminist scholars sympathetic both to critics’ arguments about the politics of knowledge production and to the planetary urbanization framework. While we agree that the theory’s most visible adherents have not systematically engaged with questions of difference, especially at smaller scales of social analysis, we reject the suggestion that planetary urbanization is inherently incompatible with such concerns. Rather, we argue that the opposite is true. Using examples from our own research, we show how the planetary urbanization framework––by enforcing a multiscalar and non-city-centric view of apparently local phenomena––can be central to theorizing and understanding social difference at the level of everyday life in empirical research. LINK"
1,REVIEW OF ROSS EXO ADAMS ON CIRCULATION & URBANIZATION,http://archive.urbantheorylab.net/publications/review-of-ross-exo-adams-on-circulation-urbanization/,,"William Conroy, ""Book review: Ross Exo Adams, Circulation and Urbanization,"" Antipode, January 31, 2020. Ross Exo Adams, in Circulation and Urbanization, has written an important and provocative book on the historical emergence of the urban as a “machine of governance.” This review, in addition to sketching out the text’s main arguments, attempts to place Adams in conversation with scholarship on “the totalizing political economy of racial capitalism.” It argues that doing so should allow for further consideration of both the dialectical relationship between circulation and immobilization, and the totalizing and differentiating character of urbanization. LINK"
2,'WILDERNESS AND UTOPIA': ON POST-CAPITALIST URBANIZATION AND THE EXTRATERRESTRIAL IMAGINARY,http://archive.urbantheorylab.net/publications/wilderness-and-utopia/,,"Interview with Kim Stanley Robinson by Daniel Daou and Mariano Gomez-Luque, New Geographies 11: Extraterrestrial (2020): 169-180. Science Fiction and Critical Theory, critical scholars have suggested, constitute mirror-image projects with equal footing in utopian thinking. The following interview with SF author Kim Stanley Robinson reads his work through the lens of urban and design studies. The shared affinities revealed in the course of the conversation make us think that there is room to extend this initial formulation into a triad that includes Science Fiction, Critical Urban Theory, and Design—a critical project yet to be systematically undertaken."
3,Operational landscapes: hinterlands of the Capitalocene,http://archive.urbantheorylab.net/publications/operational-landscapes/,,"Neil Brenner and Nikos Katsikis, “Operational landscapes: hinterlands of the Capitalocene,” AD / Architectural Design, 90, 3 (2020): 22-31. In recent decades, the field of urban studies has neglected the question of the hinterland:  the city’s complex, changing relations to the diverse non-city landscapes that support urban life.  In this article, Neil Brenner and Nikos Katsikis of the Urban Theory Lab argue that this ‘hinterland question’ remains essential, but must also be radically reimagined under contemporary conditions. LINK"
4,PLANETARY MINE: TERRITORIES OF EXTRACTION UNDER LATE CAPITALISM,http://archive.urbantheorylab.net/publications/planetary-mine/,,"Martín Arboleda, Planetary Mine: Territories of Extraction Under Late Capitalism (London and New York: Verso, 2020). Planetary Mine rethinks the politics and territoriality of resource extraction, especially as the mining industry becomes reorganized in the form of logistical networks, and East Asian economies emerge as the new pivot of the capitalist world-system. Through an exploration of the ways in which mines in the Atacama Desert of Chile—the driest in the world—have become intermingled with an expanding constellation of megacities, ports, banks, and factories across East Asia, the book rethinks uneven geographical development in the era of supply chain capitalism. Arguing that extraction entails much more than the mere spatiality of mine shafts and pits, Planetary Mine points towards the expanding webs of infrastructure, of labor, of finance, and of struggle, that drive resource-based industries in the twenty-first century. LINK"
5,Shareholder Cities: Land Transformations Along Urban Corridors in India,http://archive.urbantheorylab.net/publications/shareholder-cities/,,"Sai Balakrishnan, Shareholder Cities: Land Transformations Along Urban Corridors in India (Philadelphia: University of Pennsylvania Press, 2019). Economic corridors—ambitious infrastructural development projects that newly liberalizing countries in Asia and Africa are undertaking—are dramatically redefining the shape of urbanization. Spanning multiple cities and croplands, these corridors connect metropolises via high-speed superhighways in an effort to make certain strategic regions attractive destinations for private investment. As policy makers search for decentralized and market-oriented means for the transfer of land from agrarian constituencies to infrastructural promoters and urban developers, the reallocation of property control is erupting into volatile land-based social conflicts. In Shareholder Cities, Sai Balakrishnan argues that some of India's most decisive conflicts over its urban future will unfold in the regions along the new economic corridors where electorally strong agrarian propertied classes directly encounter financially powerful incoming urban firms. Balakrishnan focuses on the first economic corridor, the Mumbai-Pune Expressway, and the construction of three new cities along it. The book derives its title from a current mode of resolving agrarian-urban conflicts in which agrarian landowners are being transformed into shareholders in the corridor cities, and the distributional implications of these new land transformations. Shifting the focus of the study of India's contemporary urbanization away from megacities to these in-between corridor regions, Balakrishnan explores the production of uneven urban development that unsettles older histories of agrarian capitalism and the emergence of agrarian propertied classes as protagonists in the making of urban real estate markets. Shareholder Cities highlights the possibilities for a democratic politics of inclusion in which agrarian-urban encounters can create opportunities for previously excluded groups to stake new claims for themselves in the corridor regions. LINK: Purchase (promo code: PP20)"
6,Wood Urbanism: From the Molecular to the Territorial,http://archive.urbantheorylab.net/publications/wood-urbanism/,,"Daniel Ibañez, Jane Hutton, and Kiel Moe, Wood Urbanism: From the Molecular to the Territorial (Barcelona and New York: Actar Publishers, 2019).Wood holds unique and timely lessons for urbanization, yet it remains inadequately characterized in architecture, landscape architecture, and urbanism. From under-considered thermal properties to emerging manufacturing possibilities, from changing forestry regimes to larger carbon cycle dynamics, Wood Urbanism explores the unique material and scalar properties of wood, presenting it as a critical material for design today. It brings into conversation scholars and practitioners who focus on wood from a range of perspectives: from the working forest to the mid-rise building to the basic cell. Drawing from the inherent intelligence and depth of multiple disciplines, this book offers a transcalar perspective on the role of wood in contemporary urbanization: from the imperceptibly small to the confoundingly large. LINK: Actar LINK: Purchase 
 
				Table of Contents"
7,The greening imaginary: urbanized nature in Germany’s Ruhr region,http://archive.urbantheorylab.net/publications/the-greening-imaginary/,,"Hillary Angelo. ""The greening imaginary: urbanized nature in Germany’s Ruhr region."" Theory and Society 48, no. 5 (2019): 645-669. This article provides a sociological explanation for urban “greening,” the normative practice of using everyday signifiers of nature to fix problems with urbanism. Although greening is commonly understood as a reaction against the pathologies of the industrial metropolis, such explanations cannot account for greening’s recurrence across varied social and historical contexts. Through a study of greening in Germany’s Ruhr region, a polycentric urban region that has repeatedly greened in the absence of a traditional city, I argue that greening is made possible by a social imaginary of nature as an indirect or moral good, which I call urbanized nature, that is an outcome of, and subsequently becomes a variable in, urbanization. I draw on processual accounts of urbanization and the sociology of morality to explain urbanized nature’s emergence in the Ruhr at the beginning of the twentieth century, and its use to fulfill two competing visions of urban democracy in the postwar period. I find that rather than an ideological reaction against cities, greening is an aspirational practice that can be mobilized by a range of actors in a variety of places and times. By showing how a new social imaginary made new forms of moral action possible and how those ideals were then materialized in urban space, this article draws attention to the role of cultural imaginaries in urban change and to the material consequences of moral beliefs. LINK"
8,Lying Fallow: the value of idleness,http://archive.urbantheorylab.net/publications/lying-fallow/,,"Michael Chieffalo and Julia Smachylo, “Lying fallow: the value of idleness,” The Architectural Review, September 2019. Elaborating our previous approach to the notion of 'fallowness', Lying Fallow reflects on the potential of idleness in a paradigm of perpetual activity. While Cerdà and others sought to ‘fill the earth’ in a push that introduced urbanization to the world stage, we ask if a future urban world can be formed around ‘letting the earth sleep’? If so, what might these approaches look like? LINK"
9,FROM SPACES TO CIRCUITS OF EXTRACTION: VALUE IN PROCESS AND THE MINE/CITY NEXUS,http://archive.urbantheorylab.net/publications/from-spaces-to-circuits-of-extraction/,,"Martín Arboleda, “From Spaces to Circuits of Extraction: Value in Process and the Mine/City Nexus,” Capitalism Nature Socialism, (published online ahead of print 16 August, 2019). DOI: https://doi.org/10.1080/10455752.2019.1656758. The reorganization of the extractive industries into transnational supply chains has signaled the functional integration of hitherto dispersed elements of social production and brought together natural resources and built environments, as well as city and non-city space, in novel and ever more intricate ways. On the basis of Marx’s theorization of the circulation of capital—laid out in Volume II of Capital—the paper develops the notion of circuits of extraction in order to rethink the extractive industries from the standpoint of three contradictory, crisis-riven, yet interrelated circulatory systems: a productive circuit of extraction; a commodity circuit of extraction; and a money circuit of extraction. With this the paper contributes to the development of an expanded conception of extractivism that is rooted in the actual dynamics of production and circulation of raw materials, but that can also illustrate the ways in which the extractive industries are remaking urban, financial, and logistical landscapes in their own image."
10,NEW URBAN SPACES: URBAN THEORY AND THE SCALE QUESTION,http://archive.urbantheorylab.net/publications/new-urban-spaces/,,"Neil Brenner, New Urban Spaces: Urban Theory and the Scale Question (New York: Oxford University Press, 2019). The urban condition is today being radically transformed. Urban restructuring is accelerating, new urban spaces are being consolidated, and new forms of urbanization are crystallizing.  How can we decipher these transformations? In New Urban Spaces, Neil Brenner argues that understanding these mutations of urban life requires not only concrete research, but new theories of urbanization. To this end, Brenner proposes an approach that breaks with inherited conceptions of the urban as a bounded settlement unit—the city or the metropolis—and explores the multiscalar constitution and periodic rescaling of the capitalist urban fabric.  From this perspective, urbanization entails not only the growth of the city, but the production of multiscalar forms of territorial organization beyond city limits that support capital’s restless industrial metabolism—including worldwide intercity networks, agro-industrial hinterlands, circuits of extraction, transnational logistics networks and energetic infrastructures.  Drawing on critical geopolitical economy and spatialized approaches to state theory, Brenner offers a paradigmatic account of how rescaling processes are transforming inherited formations of urban space and their variegated consequences for emergent patterns and pathways of urbanization.  Through critical reinterpretations of contemporary debates on global urbanization, the remaking of urban governance, and uneven spatial development, Brenner presents a vision of urban studies as a constitutively multiscalar rather than locally focused, city-centered research field. The book advances an understanding of critical urban theory as radically revisable:  key urban concepts must be continually reinvented in relation to the relentlessly mutating worlds of urbanization they aspire to illuminate. LINK: OUP websiteLINK: Purchase REVIEW: Regional StudiesREVIEW: IJURR"
